archive_name,datetime,product,product_code,data_units
SNODAS_20040206.tar,2004-02-06,"Modeled snow water equivalent, total of snow layers",108981138 ,Meters / 1000.000000
SNODAS_20040628.tar,2004-06-28,"Non-snow accumulation, 24-hour total",125599651 ,Kilograms per square meter / 10.000000
SNODAS_20040628.tar,2004-06-28,"Modeled melt rate, bottom of snow layers, 24-hour total",125599176 ,Meters / 100000.000000
SNODAS_20040628.tar,2004-06-28,"Modeled snow layer thickness, total of snow layers",125593768 ,Meters / 1000.000000
SNODAS_20040628.tar,2004-06-28,"Snow accumulation, 24-hour total",125599471 ,Kilograms per square meter / 10.000000
SNODAS_20040628.tar,2004-06-28,"Modeled snow water equivalent, total of snow layers",125593617 ,Meters / 1000.000000
SNODAS_20040628.tar,2004-06-28,"Modeled snowpack sublimation rate, 24-hour total",125599341 ,Meters / 100000.000000
SNODAS_20040628.tar,2004-06-28,"Modeled blowing snow sublimation rate, 24-hour total",125599383 ,Meters / 100000.000000
SNODAS_20040628.tar,2004-06-28,"Modeled average temperature, SWE-weighted average of snow layers, 24-hour average",125599627 ,Kelvins
SNODAS_20040310.tar,2004-03-10,"Non-snow accumulation, 24-hour total",112905586 ,Kilograms per square meter / 10.000000
SNODAS_20040310.tar,2004-03-10,"Snow accumulation, 24-hour total",112905373 ,Kilograms per square meter / 10.000000
SNODAS_20040310.tar,2004-03-10,"Modeled snow layer thickness, total of snow layers",112899801 ,Meters / 1000.000000
SNODAS_20040310.tar,2004-03-10,"Modeled blowing snow sublimation rate, 24-hour total",112905166 ,Meters / 100000.000000
SNODAS_20040310.tar,2004-03-10,"Modeled average temperature, SWE-weighted average of snow layers, 24-hour average",112905606 ,Kelvins
SNODAS_20040310.tar,2004-03-10,"Modeled snow water equivalent, total of snow layers",112899336 ,Meters / 1000.000000
SNODAS_20040310.tar,2004-03-10,"Modeled snowpack sublimation rate, 24-hour total",112905121 ,Meters / 100000.000000
SNODAS_20040310.tar,2004-03-10,"Modeled melt rate, bottom of snow layers, 24-hour total",112904953 ,Meters / 100000.000000
SNODAS_20040615.tar,2004-06-15,"Snow accumulation, 24-hour total",124119548 ,Kilograms per square meter / 10.000000
SNODAS_20040615.tar,2004-06-15,"Modeled snowpack sublimation rate, 24-hour total",124119074 ,Meters / 100000.000000
SNODAS_20040615.tar,2004-06-15,"Modeled blowing snow sublimation rate, 24-hour total",124119255 ,Meters / 100000.000000
SNODAS_20040615.tar,2004-06-15,"Modeled melt rate, bottom of snow layers, 24-hour total",124118978 ,Meters / 100000.000000
SNODAS_20040615.tar,2004-06-15,"Non-snow accumulation, 24-hour total",124119691 ,Kilograms per square meter / 10.000000
SNODAS_20040615.tar,2004-06-15,"Modeled average temperature, SWE-weighted average of snow layers, 24-hour average",124119816 ,Kelvins
SNODAS_20040615.tar,2004-06-15,"Modeled snow water equivalent, total of snow layers",124117308 ,Meters / 1000.000000
SNODAS_20040615.tar,2004-06-15,"Modeled snow layer thickness, total of snow layers",124116696 ,Meters / 1000.000000
SNODAS_20040531.tar,2004-05-31,"Modeled snowpack sublimation rate, 24-hour total",122411696 ,Meters / 100000.000000
SNODAS_20040531.tar,2004-05-31,"Modeled average temperature, SWE-weighted average of snow layers, 24-hour average",122412014 ,Kelvins
SNODAS_20040531.tar,2004-05-31,"Non-snow accumulation, 24-hour total",122411952 ,Kilograms per square meter / 10.000000
SNODAS_20040531.tar,2004-05-31,"Modeled snow water equivalent, total of snow layers",122405668 ,Meters / 1000.000000
